ISO;Year;Event;impatto economico 5 anni prima;impatto economico anno dell'evento;impatto economico 10 anni post;impatto ambientale 5 anni prima;impatto ambientale anno dell'evento;impatto ambientale 10 anni post;impatto sociale 5 anni prima;impatto sociale anno dell'evento;impatto sociale 10 anni post;Impatto totale
FI;1952;Olympic Summer;;;1;;;0;;;-1;-1
AU;1956;Olympic Summer;;;0;;;2;;;1;2
IT;1960;Olympic Summer;;-1;1;;2;1;;-1;-1;0
JP;1964;Olympic Summer;;2;1;;0;0;;0;1;1
MX;1968;Olympic Summer;1;1;2;1;1;0;0;0;0;2
DE;1972;Olympic Summer;2;2;0;1;1;1;0;-1;0;-1
CA;1976;Olympic Summer;1;1;1;1;0;0;1;1;1;0
RU;1980;Olympic Summer;;;-1;1;1;1;-1;-1;-1;-1
US;1984;Olympic Summer;0;1;0;0;0;0;0;0;1;0
KR;1988;Olympic Summer;0;2;0;0;0;-1;0;0;1;0
ES;1992;Olympic Summer;0;0;0;1;1;1;0;0;2;0
US;1996;Olympic Summer;1;1;1;0;1;1;1;1;2;1
AU;2000;Olympic Summer;0;0;0;1;1;0;2;2;2;2
GR;2004;Olympic Summer;0;0;-1;1;1;0;0;0;1;-1
CN;2008;Olympic Summer;1;2;1;1;1;1;0;-1;0;1
GB;2012;Olympic Summer;1;0;;1;1;;1;1;;1
BR;2016;Olympic Summer;-1;0;;0;0;;1;1;;-1
JP;2020;Olympic Summer;2;0;;0;;;1;1;;2
FR;2024;Olympic Summer;2;;;;;;1;;;2
NO;1952;Olympic Winter;;;2;;;0;;;0;0
IT;1956;Olympic Winter;;;1;;;1;;;0;2
US;1960;Olympic Winter;;-1;1;;-1;0;;-1;0;0
AT;1964;Olympic Winter;;2;2;;1;0;;-1;-1;-1
FR;1968;Olympic Winter;-1;2;1;1;1;1;0;0;0;1
JP;1972;Olympic Winter;0;2;1;0;0;0;1;1;1;0
AT;1976;Olympic Winter;0;2;1;1;0;0;-1;-1;-1;-1
US;1980;Olympic Winter;0;0;1;0;0;0;0;0;1;1
BA;1984;Olympic Winter;;;;;;;;;;
CA;1988;Olympic Winter;-1;0;0;1;1;0;1;1;1;2
FR;1992;Olympic Winter;0;0;-1;1;1;1;0;0;1;2
NO;1994;Olympic Winter;1;0;0;0;0;0;0;0;1;2
JP;1998;Olympic Winter;2;-1;0;0;0;-1;0;1;1;-1
US;2002;Olympic Winter;1;0;0;1;1;1;1;1;1;2
IT;2006;Olympic Winter;1;0;0;1;1;0;0;0;0;-1
CA;2010;Olympic Winter;0;0;-1;0;0;;2;2;2;1
RU;2014;Olympic Winter;0;1;;1;0;;-1;-1;;0
KR;2018;Olympic Winter;1;0;;-1;-1;;1;1;;-1
CN;2022;Olympic Winter;1;;;1;;;0;;;1
CL;1962;World Cup;;1;1;;1;1;;0;1;2
GB;1966;World Cup;1;0;1;0;0;0;0;0;0;0
MX;1970;World Cup;0;2;2;1;1;1;0;0;0;1
DE;1974;World Cup;2;1;0;1;1;1;0;0;0;-1
AR;1978;World Cup;1;1;-1;1;1;1;1;1;1;2
ES;1982;World Cup;0;0;0;1;1;1;0;0;0;-1
MX;1986;World Cup;-1;1;2;1;1;1;0;0;1;1
IT;1990;World Cup;0;0;1;1;1;0;0;0;0;-1
US;1994;World Cup;0;0;1;0;0;1;1;1;1;1
FR;1998;World Cup;1;0;0;1;1;1;1;0;1;2
JP;2002;World Cup;1;-1;0;-1;-1;-1;1;1;1;-1
KR;2002;World Cup;0;1;0;-1;-1;-1;1;1;1;0
DE;2006;World Cup;1;0;1;0;0;0;1;1;2;1
ZA;2010;World Cup;0;0;-1;1;1;;-1;0;0;0
BR;2014;World Cup;1;0;;1;0;;1;1;;0
RU;2018;World Cup;1;1;;1;1;;0;0;;1
QA;2022;World Cup;1;;;0;;;2;;;2
IT;1961 ;Expo;;1;1;;1;1;;0;0;2
US;1962 ;Expo;;1;1;;1;0;;0;0;1
US;1964 ;Expo;;1;1;;1;0;;0;0;0
DE;1965 ;Expo;2;0;1;;1;1;-1;0;-1;-1
CA;1967 ;Expo;1;1;1;1;1;1;1;1;1;1
US;1968 ;Expo;1;1;2;1;0;0;0;0;1;0
JP;1970 ;Expo;0;1;1;0;0;0;0;1;1;0
HU;1971 ;Expo;;;1;1;1;1;-1;-1;-1;-1
US;1974 ;Expo;1;1;1;0;0;0;0;0;1;0
JP;1975 ;Expo;1;1;1;0;0;0;0;1;1;-1
BG;1981 ;Expo;;1;0;1;1;1;0;0;-1;-1
US;1982 ;Expo;0;0;0;0;0;0;1;1;1;1
US;1984 ;Expo;0;1;1;0;0;0;1;1;2;1
JP;1985 ;Expo;1;1;0;0;0;0;1;1;1;-1
BG;1985 ;Expo;;0;0;1;1;1;-1;-1;-1;-1
CA;1986 ;Expo;-1;1;0;0;1;0;1;1;2;2
AU;1988 ;Expo;0;1;0;1;1;1;2;2;2;1
BG;1991 ;Expo;1;0;0;1;1;1;-1;-1;0;-1
ES;1992 ;Expo;0;0;0;2;2;1;0;1;2;2
IT;1992 ;Expo;0;0;0;1;1;1;0;0;0;-1
KR;1993 ;Expo;0;2;1;0;0;-1;0;1;1;0
PT;1998 ;Expo;0;1;0;0;0;0;0;0;0;0
DE;2000 ;Expo;1;0;0;1;1;1;0;0;1;1
JP;2005 ;Expo;1;0;0;0;1;0;1;1;1;1
ES;2008 ;Expo;1;0;0;1;1;1;2;2;2;2
CN;2010 ;Expo;1;1;0;1;1;;-1;-1;0;2
KR;2012 ;Expo;1;1;;-1;-1;;1;1;;0
IT;2015 ;Expo;1;0;;0;1;;1;0;;1
KZ;2017 ;Expo;0;1;;1;2;;0;0;;2
AE;2020 ;Expo;0;0;;0;;;1;2;;0
AR;2023 ;Expo;0;;;1;;;2;;;2
JP;2025 ;Expo;1;;;;;;1;;;2